scenario,classifier,batch_balance,normalization,repeat_id,split,error
jama_scenario1_3,pam,True,vsn,2,70,0.179487179487179
jama_scenario1_3,pam,True,mn,3,70,0.192307692307692
jama_scenario1_3,pam,True,non,3,70,0.192307692307692
jama_scenario1_3,pam,True,qn,3,70,0.203296703296703
jama_scenario1_3,pam,True,vsn,3,70,0.203296703296703
jama_scenario1_3,pam,True,mn,1,80,0.198165137614679
jama_scenario1_3,pam,True,non,1,80,0.201834862385321
jama_scenario1_3,pam,True,qn,1,80,0.2
jama_scenario1_3,pam,True,vsn,1,80,0.198165137614679
jama_scenario1_3,pam,True,mn,2,80,0.144954128440367
jama_scenario1_3,pam,True,non,2,80,0.190825688073395
jama_scenario1_3,pam,True,qn,2,80,0.168807339449541
jama_scenario1_3,pam,True,vsn,2,80,0.174311926605505
jama_scenario1_3,pam,True,mn,3,80,0.190825688073395
jama_scenario1_3,pam,True,non,3,80,0.198165137614679
jama_scenario1_3,pam,True,qn,3,80,0.207339449541284
jama_scenario1_3,pam,True,vsn,3,80,0.207339449541284
jama_scenario1_3,pam,True,mn,1,90,0.21978021978022
jama_scenario1_3,pam,True,non,1,90,0.203296703296703
jama_scenario1_3,pam,True,qn,1,90,0.208791208791209
jama_scenario1_3,pam,True,vsn,1,90,0.227106227106227
jama_scenario1_3,pam,True,mn,2,90,0.205128205128205
jama_scenario1_3,pam,True,non,2,90,0.192307692307692
jama_scenario1_3,pam,True,qn,2,90,0.186813186813187
jama_scenario1_3,pam,True,vsn,2,90,0.188644688644689
jama_scenario1_3,pam,True,mn,3,90,0.236263736263736
jama_scenario1_3,pam,True,non,3,90,0.355311355311355
jama_scenario1_3,pam,True,qn,3,90,0.247252747252747
jama_scenario1_3,pam,True,vsn,3,90,0.265567765567766
jama_scenario1_3,pam,True,mn,1,100,0.291743119266055
jama_scenario1_3,pam,True,non,1,100,0.414678899082569
jama_scenario1_3,pam,True,qn,1,100,0.278899082568807
jama_scenario1_3,pam,True,vsn,1,100,0.267889908256881
jama_scenario1_3,pam,True,mn,2,100,0.256880733944954
jama_scenario1_3,pam,True,non,2,100,0.185321100917431
jama_scenario1_3,pam,True,qn,2,100,0.205504587155963
jama_scenario1_3,pam,True,vsn,2,100,0.299082568807339
jama_scenario1_3,pam,True,mn,3,100,0.222018348623853
jama_scenario1_3,pam,True,non,3,100,0.412844036697248
jama_scenario1_3,pam,True,qn,3,100,0.211009174311927
jama_scenario1_3,pam,True,vsn,3,100,0.222018348623853
jama_scenario1_3,rf,True,mn,1,50,0.10989010989011
jama_scenario1_3,rf,True,non,1,50,0.124542124542125
jama_scenario1_3,rf,True,qn,1,50,0.133699633699634
jama_scenario1_3,rf,True,vsn,1,50,0.119047619047619
jama_scenario1_3,rf,True,mn,2,50,0.139194139194139
jama_scenario1_3,rf,True,non,2,50,0.153846153846154
jama_scenario1_3,rf,True,qn,2,50,0.146520146520147
jama_scenario1_3,rf,True,vsn,2,50,0.139194139194139
jama_scenario1_3,rf,True,mn,3,50,0.104395604395604
jama_scenario1_3,rf,True,non,3,50,0.124542124542125
jama_scenario1_3,rf,True,qn,3,50,0.106227106227106
jama_scenario1_3,rf,True,vsn,3,50,0.117216117216117
jama_scenario1_3,rf,True,mn,1,70,0.135531135531136
jama_scenario1_3,rf,True,non,1,70,0.133699633699634
jama_scenario1_3,rf,True,qn,1,70,0.126373626373626
jama_scenario1_3,rf,True,vsn,1,70,0.139194139194139
jama_scenario1_3,rf,True,mn,2,70,0.131868131868132
jama_scenario1_3,rf,True,non,2,70,0.124542124542125
jama_scenario1_3,rf,True,qn,2,70,0.13003663003663
jama_scenario1_3,rf,True,vsn,2,70,0.163003663003663
jama_scenario1_3,rf,True,mn,3,70,0.137362637362637
jama_scenario1_3,rf,True,non,3,70,0.117216117216117
jama_scenario1_3,rf,True,qn,3,70,0.128205128205128
jama_scenario1_3,rf,True,vsn,3,70,0.126373626373626
jama_scenario1_3,rf,True,mn,1,80,0.132110091743119
jama_scenario1_3,rf,True,non,1,80,0.143119266055046
jama_scenario1_3,rf,True,qn,1,80,0.152293577981651
jama_scenario1_3,rf,True,vsn,1,80,0.148623853211009
jama_scenario1_3,rf,True,mn,2,80,0.128440366972477
jama_scenario1_3,rf,True,non,2,80,0.121100917431193
jama_scenario1_3,rf,True,qn,2,80,0.132110091743119
jama_scenario1_3,rf,True,vsn,2,80,0.161467889908257
jama_scenario1_3,rf,True,mn,3,80,0.170642201834862
jama_scenario1_3,rf,True,non,3,80,0.157798165137615
jama_scenario1_3,rf,True,qn,3,80,0.157798165137615
jama_scenario1_3,rf,True,vsn,3,80,0.165137614678899
jama_scenario1_3,rf,True,mn,1,90,0.163003663003663
jama_scenario1_3,rf,True,non,1,90,0.188644688644689
jama_scenario1_3,rf,True,qn,1,90,0.184981684981685
jama_scenario1_3,rf,True,vsn,1,90,0.19047619047619
jama_scenario1_3,rf,True,mn,2,90,0.139194139194139
jama_scenario1_3,rf,True,non,2,90,0.153846153846154
jama_scenario1_3,rf,True,qn,2,90,0.155677655677656
