scenario,classifier,batch_balance,normalization,split,error_mean,error_sd,error_min,error_max,n_runs
jama_scenario1_3,lasso,True,vsn,100,0.28012232415902166,0.10588814735512912,0.209174311926606,0.401834862385321,3
jama_scenario1_3,pam,True,mn,50,0.17460317460317465,0.019062875452986634,0.159340659340659,0.195970695970696,3
jama_scenario1_3,pam,True,mn,70,0.18620268620268635,0.01731067994964316,0.166666666666667,0.1996336996337,3
jama_scenario1_3,pam,True,mn,80,0.177981651376147,0.02883712595504914,0.144954128440367,0.198165137614679,3
jama_scenario1_3,pam,True,mn,90,0.22039072039072036,0.01557674093061418,0.205128205128205,0.236263736263736,3
jama_scenario1_3,pam,True,mn,100,0.256880733944954,0.03486238532110103,0.222018348623853,0.291743119266055,3
jama_scenario1_3,pam,True,non,50,0.20451770451770435,0.010087125544479974,0.194139194139194,0.214285714285714,3
jama_scenario1_3,pam,True,non,70,0.1959706959706957,0.0048456983719130315,0.192307692307692,0.201465201465201,3
jama_scenario1_3,pam,True,non,80,0.196941896024465,0.005605597180373806,0.190825688073395,0.201834862385321,3
jama_scenario1_3,pam,True,non,90,0.25030525030525,0.091103793318632,0.192307692307692,0.355311355311355,3
jama_scenario1_3,pam,True,non,100,0.33761467889908264,0.13189329816496867,0.185321100917431,0.414678899082569,3
jama_scenario1_3,pam,True,qn,50,0.181318681318681,0.01903352535789978,0.159340659340659,0.192307692307692,3
jama_scenario1_3,pam,True,qn,70,0.19230769230769199,0.017471413945365184,0.172161172161172,0.203296703296703,3
jama_scenario1_3,pam,True,qn,80,0.19204892966360831,0.020459606952511006,0.168807339449541,0.207339449541284,3
jama_scenario1_3,pam,True,qn,90,0.21428571428571433,0.03059211188368121,0.186813186813187,0.247252747252747,3
jama_scenario1_3,pam,True,qn,100,0.23180428134556566,0.04087805458472627,0.205504587155963,0.278899082568807,3
jama_scenario1_3,pam,True,vsn,50,0.17826617826617833,0.020174251088959903,0.157509157509158,0.197802197802198,3
jama_scenario1_3,pam,True,vsn,70,0.1947496947496943,0.013249410509286214,0.179487179487179,0.203296703296703,3
jama_scenario1_3,pam,True,vsn,80,0.19327217125382268,0.017048758244362118,0.174311926605505,0.207339449541284,3
jama_scenario1_3,pam,True,vsn,90,0.22710622710622733,0.03846153846153851,0.188644688644689,0.265567765567766,3
jama_scenario1_3,pam,True,vsn,100,0.26299694189602435,0.03876440826297443,0.222018348623853,0.299082568807339,3
jama_scenario1_3,rf,True,mn,50,0.11782661782661767,0.01870763546525589,0.104395604395604,0.139194139194139,3
jama_scenario1_3,rf,True,mn,70,0.134920634920635,0.002797665259435623,0.131868131868132,0.137362637362637,3
jama_scenario1_3,rf,True,mn,80,0.14373088685015267,0.02337799982093735,0.128440366972477,0.170642201834862,3
jama_scenario1_3,rf,True,mn,90,0.16239316239316234,0.02289987708609418,0.139194139194139,0.184981684981685,3
jama_scenario1_3,rf,True,mn,100,0.283792048929664,0.03389946534691369,0.264220183486239,0.322935779816514,3
jama_scenario1_3,rf,True,non,50,0.13431013431013467,0.016918689207021817,0.124542124542125,0.153846153846154,3
jama_scenario1_3,rf,True,non,70,0.12515262515262535,0.008258699180994549,0.117216117216117,0.133699633699634,3
jama_scenario1_3,rf,True,non,80,0.140672782874618,0.01847054296090701,0.121100917431193,0.157798165137615,3
jama_scenario1_3,rf,True,non,90,0.1691086691086693,0.01778852537769665,0.153846153846154,0.188644688644689,3
jama_scenario1_3,rf,True,non,100,0.19327217125382265,0.017821164873802513,0.177981651376147,0.212844036697248,3
jama_scenario1_3,rf,True,qn,50,0.128815628815629,0.020585732967140002,0.106227106227106,0.146520146520147,3
jama_scenario1_3,rf,True,qn,70,0.128205128205128,0.0018315018315019915,0.126373626373626,0.13003663003663,3
jama_scenario1_3,rf,True,qn,80,0.14740061162079499,0.013524981276756158,0.132110091743119,0.157798165137615,3
jama_scenario1_3,rf,True,qn,90,0.17338217338217332,0.01557674093061397,0.155677655677656,0.184981684981685,3
jama_scenario1_3,rf,True,qn,100,0.28073394495412834,0.03973652812423445,0.256880733944954,0.326605504587156,3
jama_scenario1_3,rf,True,vsn,50,0.125152625152625,0.012194740143735125,0.117216117216117,0.139194139194139,3
jama_scenario1_3,rf,True,vsn,70,0.14285714285714268,0.018587713489180077,0.126373626373626,0.163003663003663,3
jama_scenario1_3,rf,True,vsn,80,0.15840978593272168,0.00867122133257368,0.148623853211009,0.165137614678899,3
jama_scenario1_3,rf,True,vsn,90,0.19719169719169702,0.013249410509285891,0.188644688644689,0.212454212454212,3
jama_scenario1_3,rf,True,vsn,100,0.273394495412844,0.0354370787446385,0.242201834862385,0.311926605504587,3
jama_scenario1_3,svm,True,mn,50,0.09890109890109904,0.022505871295686188,0.0824175824175824,0.124542124542125,3
jama_scenario1_3,svm,True,mn,70,0.10744810744810766,0.004609178531911217,0.102564102564103,0.111721611721612,3
jama_scenario1_3,svm,True,mn,80,0.11743119266055034,0.012844036697247563,0.108256880733945,0.132110091743119,3
